,drugName,condition,Side_Effect,effectiveness
57,Activella,Postmenopausal Symptoms,"night sweat, headache, nausea, vomiting, pain, sweat, nervousness, ache",63.99%
58,Actonel with Calcium,Osteoporosis,pain,22.50%
59,Acyclovir,"Cold Sores, Herpes Simplex, Herpes Simplex, Mucocutaneous/Immunocompetent Host, Herpes Simplex, Mucocutaneous/Immunocompromised Host, Herpes Simplex, Suppression, Herpes Zoste, Mononucleosis, Not Listed / Othe","fall, tired, scab, vomiting, sweat, oral herpes, stress at work, fever, blood test, elation, pain, burning sensation, nausea and vomiting, stress, prophylaxis, ache, diarrhea, crying, nausea, fatigue, dizziness, swelling, immunodeficiency, Mood swings, flare, shooting pain, headache, redness",58.67%
60,Acyclovir / hydrocortisone,Cold Sores,,78.70%
61,Aczone,Acne,"flare, crying, tired, wound, lesion, nightmare, birth control, pain, swelling, stress, ache, worry, redness",52.74%
62,Adalat CC,High Blood Pressure,,53.80%
63,Adalimumab,"Not Listed / Othe, Psoriasis, Rheumatoid Arthritis",pain,68.34%
64,Adapalene,Acne,"fever, flare, fall, headache, tired, wound, scab, birth control, pustule, retch, pain, purging, sweat, burning sensation, stress, ache, red blotches, surgery, redness",51.15%
65,Adapalene / benzoyl peroxide,Acne,"scratch, flare, lesion, birth control, pain, purging, burning sensation, stress, ache, redness",54.45%
66,Adcirca,Pulmonary Hypertension,"headache, liver transplant, ache",41.53%
67,Adempas,Pulmonary Hypertension,,8.70%
68,Adenosine,"Not Listed / Othe, Supraventricular Tachycardia","tired, headache, panic, pain, heavy feeling, ache, exhaustion, redness",54.55%
69,Adipex-P,"1 1     Obesity, Weight Loss","food craving, sleepy, sleeplessness, anger, fall, tired, out of breath, constipation, sweat, hunger, surgery, blood test, laziness, panic, elation, overweight, pain, tremor, stress, aura, ache, diarrhea, unhappy, crying, nausea, bite, fatigue, weight gain, retch, binge eating, dizziness, swelling, Constipation, anorexia, delivery, rale, worry, chill, boredom, palpitation, Scar, withdraw, alcoholic, headache, shortness of breath, Cold sweat, birth control",66.42%
70,Adipost,Obesity,food craving,66.75%
71,Adoxa,Acne,"birth control, nausea, vomiting",60.53%
72,Adriamycin,"Breast Cance, Cance, Lymphoma","nausea, nausea and vomiting, vomiting, cardiotoxicity",68.35%
73,Advate,Hemophilia A,surgery,69.06%
74,Advicor,High Cholesterol,flushing,79.00%
75,Advil," Back Pain, Cystic Fibrosis, Gout, Acute, Headache, Muscle Pain, Pain, Rheumatoid Arthritis, Sciatica, Spondylolisthesis, eve","fever, crying, sciatica, headache, pain, ache",57.40%
76,Advil Cold and Sinus,Sinus Symptoms,"sleepy, sinus pain, headache, cough, pain, ache",59.41%
77,Advil Liqui-Gels,"Back Pain, Gout, Acute, Headache, Pain, Period Pain, Rheumatoid Arthritis, eve","flare, headache, pain, swelling, ache, exhaustion",58.22%
78,Advil Migraine,Headache,Migraine,66.75%
79,Advil PM,Insomnia,"fall, tired",61.43%
80,Afatinib,Non-Small Cell Lung Cance,"erythema, cough, pain",45.33%
81,Afrezza,"Diabetes, Type 1, Diabetes, Type 2","anger, cough, worry",53.34%
82,Afrin,Nasal Congestion,"rebound effect, Arthritis, frustration, stuffy nose, wound",28.32%
83,Afrin 4 Hour Extra Moisturizing,Nasal Congestion,,68.04%
84,Afrin NoDrip Sinus,Nasal Congestion,shortness of breath,41.45%
85,Afrin Original,Nasal Congestion,,29.01%
86,Afrin Sinus,Nasal Congestion,,59.00%
87,Aftera,Emergency Contraception,abortion,72.00%
88,Aggrenox,"Ischemic Stroke, Prophylaxis","diarrhea, headache, nausea, vomiting, cardiovascular event, pain, ache, surgery",41.27%
89,Alavert,Urticaria,multiple allergies,68.75%
90,Alavert D-12 Hour Allergy and Sinus, Allergic Rhinitis,"headache, pain, ache",9.33%
91,Albendazole,"Ascariasis, Cutaneous Larva Migrans, Pinworm Infection (Enterobius vermicularis)","sleepy, tired, headache, bite, nausea, biopsy, ache, redness",64.56%
92,Albenza,Pinworm Infection (Enterobius vermicularis),"headache, ache, diarrhea",56.15%
93,Albiglutide,"Diabetes, Type 2","diarrhea, headache, nausea, vomiting, pain, ache",34.45%
94,Albuterol,"Asthma, Maintenance, Asthma, acute, Bronchiectasis, Bronchospasm Prophylaxis, COPD, Acute, COPD, Maintenance","sleepy, chest tightness, spasm, sleeplessness, flare, anger, fall, shortness of breath, tired, Anxiety, Asthma, terrify, cough, pain, tremor, stress, delivery, wheezing",33.57%
95,Albuterol / ipratropium,"COPD, Maintenance","elderly, tired, Asthma, cough, lung transplant, drug interaction, delivery, wheezing, drowning",50.79%
96,Alcaftadine,"Conjunctivitis, Allergic","scratch, Infection, crying, eye allergy, panic, swelling, surgery, redness",41.51%
97,Alclometasone,"Atopic Dermatitis, Psoriasis",,69.11%
98,Alcortin A,Dermatitis,flare,63.25%
99,Aldactone,"1 Acne, Alopecia, Edema, Heart Failure, High Blood Pressure, Primary Hyperaldosteronism","fall, tired, elation, weight gain, birth control, pain, insulin resistance, swelling, ache, redness",57.92%
100,Aldomet,High Blood Pressure,"elderly, fall, wound, dizziness",26.34%
101,Alemtuzumab,Multiple Sclerosis,"fever, headache, flare, ache",70.20%
102,Alendronate,"Osteoporosis, Prevention of Osteoporosis","anger, Abdominal pain, headache, nausea, fatigue, vomiting, Pain, osteopenia, heartburn, low back pain, bedridden, pain, swelling, hunger, Headache, ache",17.85%
103,Alesse,"    Abnormal Uterine Bleeding, Birth Control, Endometriosis, Polycystic Ovary Syndrome","blood test, unhappy, laziness, crying, tired, headache, nausea, elation, weight gain, birth control, gag, pain, dizziness, stress, Headache, ache, worry, surgery, moody",49.07%
104,Aleve,"Ankylosing Spondylitis, Back Pain, Costochondritis, Gout, Acute, Headache, Juvenile Rheumatoid Arthritis, Muscle Pain, Osteoarthritis, Pain, Period Pain, Rheumatoid Arthritis, Sciatica, Tendonitis, zen Shoulde","fall, tired, vomiting, surgery, numbness, Tic, sciatica, excruciating pain, pain, stress, ache, Arthritis, Gout, crying, chondritis, nausea, retch, dizziness, swelling, stiffness, fibromatosis, fibroma, spasm, headache, shortness of breath, Pain",51.34%
105,Aleve-D Sinus & Cold,Sinus Symptoms,,65.55%
106,Alfuzosin,Benign Prostatic Hyperplasia,"floppy iris syndrome, tired, headache, fatigue, excruciating pain, floppy, unwell, difficulty, pain, dizziness, stiffness, ache, retrograde ejaculation, surgery, redness",40.16%
107,Alirocumab,"High Cholesterol, High Cholesterol, Familial Heterozygous, High Cholesterol, Familial Homozygous","palpitation, drug therapy, blood test, diarrhea, spasm, shortness of breath, fatigue, cough, pain, ache, worry",53.33%
108,Aliskiren,High Blood Pressure,"palpitation, Scar, anger, tired, headache, nausea, unwell, overweight, pain, cough, dizziness, burning sensation, ache, surgery",50.38%
109,All Day Allergy,Allergic Rhinitis,fever,93.00%
110,Allantoin / camphor / phenol,Herpes Simplex,bite,68.20%
111,Allegra,"  Allergic Rhinitis, Urticaria","fever, diarrhea, drowsiness, fall, headache, nausea, tired, ache, vomiting, snore, cough, sniffle, bronchial irritation, dizziness, snoring, sweat, idiopathic urticaria, chill",54.91%
112,Allegra Allergy,Allergic Rhinitis,tired,8.96%
113,Allegra-D 24 Hour,1  Allergic Rhinitis,"unable to concentrate, crying, tired, terrify, cough, pain",52.20%
114,Aller-Ease,Urticaria,,-19.25%
115,Allerx Dose Pack DF,Rhinitis,cough,73.31%
116,Allopurinol,"Gout, Hyperuricemia Secondary to Chemotherapy, Urinary Tract Stones","Gout, flare, fatigue, aversion, lithotripsy, overweight, pain, swelling, stiffness, suicidal",58.04%
117,Almotriptan,Migraine,"spasm, tired, headache, Fall, pain, drug interaction, aura, ache, Migraine",65.15%
118,Alocril,"Conjunctivitis, Allergic",,70.00%
119,Aloe vera,"Burns, External","pain, welt",72.86%
120,Alogliptin / metformin,min),,7.00%
121,Aloprim,Gout,pain,67.79%
122,Alosetron,"Diarrhea, Irritable Bowel Syndrome","diarrhea, crying, nausea, endoscopy, colonoscopy, pain, difficulty, constipation, overdose, ache, suicidal",70.09%
123,Aloxi,"Nausea/Vomiting, Postoperative",nausea,100.00%
124,Alpha 1-proteinase inhibitor,Alpha-1 Proteinase Inhibitor Deficiency,,78.45%
125,Alprazolam,"Anxiety, Borderline Personality Disorde, Depression, Dysautonomia, Not Listed / Othe, Panic Disorde, Tinnitus","sleepy, dependence, seizure, anger, fall, tired, out of breath, sexual abuse, pain management, brain damage, sweat, intoxication, nervousness, anxiety disorder, surgery, drowsiness, Fear, Tachycardia, tunnel vision, blood test, suicidal, Ovarian cancer, panic, lesion, elation, pain, divorced, stress, Depression, tinnitus, ache, hangover, diarrhea, claustrophobia, crying, nausea, Tinnitus, wound, Anxiety, blackout, nightmare, terrify, retch, vertigo, feeling guilty, fear of death, Insomnia, Colitis, sports injury, worry, boredom, palpitation, spasm, night sweat, withdraw, Atrial fibrillation, alcoholic, headache, groggy, clumsiness, bedridden",66.02%
126,Alprostadil,Erectile Dysfunction,"massage, stress, headache, elation, pain, burning sensation, stiffness, erectile dysfunction, ache, surgery, redness",61.52%
127,Altabax,"Acne, Impetig","pain, wound, open wound, redness",58.59%
128,Altace,"Diabetic Kidney Disease, Heart Attack, Heart Failure, High Blood Pressure","fever, diarrhea, hypotension, night sweat, tired, nausea, left ventricular dysfunction, cough, pain, sweat, gag",58.55%
129,Aluminum chloride hexahydrate,Hyperhidrosis,"anger, fall, tired, scab, sympathectomy, sweat, nervousness, staring, surgery, excruciating pain, pain, burning sensation, stress, aura, ache, Surgery, scratch, crying, nightmare, retch, swelling, worry, Hyperhidrosis, stinging sensation, frustration, night sweat, birth control, redness",64.92%
130,Aluminum hydroxide / magnesium trisilicate,"GERD, Indigestion",pain,60.24%
131,Alvesco,"Asthma, Asthma, Maintenance","fever, fall, hoarseness, cough, pain, dizziness",57.51%
132,Amantadine,"ADHD, Chronic Fatigue Syndrome, Extrapyramidal Reaction, Head Injury, Multiple Sclerosis, Parkinson's Disease, atigue","fall, nausea, tired, fatigue, ache, nightmare, difficulty, constipation, swelling, tremor, stiffness, Fatigue, redness",51.26%
133,Ambrisentan,Pulmonary Hypertension,dialysis,-2.50%
134,Amcinonide,Dermatitis,,82.00%
135,Amerge,Migraine,"sleepy, photophobia, tired, headache, nausea, heartburn, groggy, pain, Headache, ache",67.11%
136,Amethyst,Birth Control,moody,14.70%
137,Amikacin,"Not Listed / Othe, Urinary Tract Infection",,40.60%
138,Amikin,Cystic Fibrosis,"Back pain, pain, fever, vomiting",7.00%
139,Amiloride,Edema,,19.50%
140,Amino acids,Dietary Supplementation,,69.00%
141,Amiodarone,"Arrhythmia, Ventricular Fibrillation, Ventricular Tachycardia","Tachycardia, Hyperthyroidism, transfusion, tired, heart transplant, retinal vein occlusion, intensive care, cough, lung transplant, Shock, Insomnia, pain, pulmonary toxicity, stress, difficulty, swelling, constipation, dialysis, surgery",35.87%
142,Amitiza,"1 2  Constipation, Constipation, Chronic, Constipation, Drug Induced, Irritable Bowel Syndrome, Opioid-Induced Constipation","chest tightness, anger, fall, tired, flatulence, vomiting, heartburn, pain management, constipation, sweat, surgery, adhesion, grunting, fever, unwell, overweight, pain, purging, ache, diarrhea, crying, nausea, fatigue, retch, cough, colonoscopy, dizziness, swelling, dizzy spells, Constipation, worry, chill, hysterectomy, moody, spasm, withdraw, headache, shortness of breath, lethargy, dialysis, redness",45.83%
143,Amitriptyline,"Anxiety and Stress, Burning Mouth Syndrome, Chronic Myofascial Pain, Cough, Cyclic Vomiting Syndrome, Depression, Dysautonomia, Hyperhidrosis, Insomnia, Interstitial Cystitis, Irritable Bowel Syndrome, Migraine Prevention, Neurotic Depression, Not Listed / Othe, Pain, Post Traumatic Stress Disorde, Pudendal Neuralgia, Reflex Sympathetic Dystrophy Syndrome, Urinary Incontinence, Vulvodynia, ibromyalgia","shoulder operation, anger, fall, post concussion syndrome, tired, urinary tract pain, vomiting, heartburn, pain management, productive cough, exhaustion, surgery, scar tissue, tremor, off label use, Arthritis, diarrhea, wound, Anxiety, weight gain, fatigue, retch, difficulty, worry, dystonia, neuropathic pain, personality change, family stress, increased appetite, redness, mania, Paralysis, sleeplessness, endoscopy, constipation, sweat, hunger, drowsiness, suicidal, numbness, bladder discomfort, excruciating pain, complicated migraine, aggression, unwell, Cystitis, paresis, ache, Vomiting, crying, colonoscopy, swelling, rale, Mood swings, artery dissection, groggy, Pain, seizure, breakthrough pain, piriformis syndrome, depressive symptom, gag, anxiety disorder, Dizziness, sciatica, painful erection, food intolerance, migraine with aura, overweight, pain, adverse reaction, Depression, Headache, aura, tinnitus, Migraine, hangover, Tension, Enuresis, fear of weight gain, nausea, anhedonia, heart valve replacement, cyclic vomiting syndrome, cough, vertigo, Insomnia, stiffness, underweight, withdraw, shortness of breath, plasmacytoma, lethargy, food craving, sleepy, sinus pain, acupuncture, agitation, myalgia, blood test, panic, elation, screaming, carotid artery dissection, stress, bladder spasm, massage, urethral stricture, scratch, syncope, acute stress disorder, nightmare, dizziness, self-medication, moody, palpitation, spasm, flare, abortion, headache, hostility, anal stenosis, low back pain",56.35%
144,Amitriptyline / chlordiazepoxide,"Anxiety, Depression, Not Listed / Othe","headache, panic, ache, difficulty, pain, myalgia",66.65%
145,Amitriptyline / perphenazine,"Anxiety, Depression","anger, panic, psychotherapy",72.10%
146,Amlodipine,"Coronary Artery Disease, Heart Failure, High Blood Pressure, Migraine Prevention, Not Listed / Othe, Raynaud's Syndrome","sleepy, adverse effect, Hyperthyroidism, fall, tired, muscle twitch, out of breath, vomiting, sweat, Fatigue, exhaustion, surgery, drowsiness, blood test, numbness, stuffy nose, panic, Conjunctivitis, unwell, overweight, pain, adverse reaction, Tremor, stress, off label use, aura, paresthesia, Cough, tinnitus, Migraine, ache, massage, Arthritis, scratch, diarrhea, delusion, unhappy, nausea, wound, Anxiety, nightmare, weight gain, fatigue, cough, difficulty, Insomnia, dizziness, swelling, dizzy spells, flushing, malaise, chill, swollen tongue, cold sweat, palpitation, elderly, spasm, flare, spider vein, sleep paralysis, headache, shortness of breath, lightheadedness, Pain, Nausea, groggy, redness",36.64%
147,Amlodipine / atorvastatin,High Blood Pressure,,3.00%
148,Amlodipine / benazepril,"High Blood Pressure, Not Listed / Othe","chest tightness, palpitation, unable to concentrate, cough, pain, swelling, dizziness, dizzy spells, ache, Cough",39.75%
149,Amlodipine / hydrochlorothiazide / olmesartan,High Blood Pressure,"fever, spasm, fatigue, vomiting, cough, pain, dizziness, dizzy spells, ache",56.98%
150,Amlodipine / hydrochlorothiazide / valsartan,ge HCT (amlodipine / hydrochlorothiazide / valsartan),dizziness,72.24%
151,Amlodipine / telmisartan,High Blood Pressure,,68.09%
152,Amlodipine / valsartan,High Blood Pressure,spasm,11.57%
153,Ammonium lactate,"Dry Skin, Ichthyosis","ammonia, pain, worry",68.21%
154,Ammonium lactate / halobetasol,Psoriasis,,76.00%
155,Amnesteem,1 Acne,"sleepy, fever, blood test, flare, anger, tired, headache, nausea, fatigue, moody, ache, redness, birth control, Back pain, pain, constipation, suicidal, chill, chapped lips",56.51%
156,Amoxapine,Depression,,75.21%
157,Amoxicillin,"Bacterial Infection, Bladder Infection, Bronchitis, Dental Abscess, Helicobacter Pylori Infection, Not Listed / Othe, Otitis Media, Pneumonia, Sinusitis, Skin or Soft Tissue Infection, Tonsillitis/Pharyngitis, Upper Respiratory Tract Infection, Urinary Tract Infection","sleepy, Infection, fall, tired, vomiting, sweat, exhaustion, surgery, drowsiness, Diarrhoea, fever, panic, traction, pain, kidney infection, ache, chronic tonsillitis, diarrhea, crying, nausea, fatigue, terrify, Mass, cough, dizziness, swelling, chill, tooth infection, wisdom teeth removal, spasm, Chest pain, headache, tooth extraction, Pain, extreme exhaustion, redness",48.74%
158,Amoxicillin / clarithromycin / lansoprazole,Helicobacter Pylori Infection,"fall, tired, vomiting, endoscopy, heartburn, redness, constipation, sweat, biopsy, gag, exhaustion, drowsiness, fever, blood test, excruciating pain, overweight, pain, burning sensation, Chills, ache, diarrhea, nausea, fatigue, retch, ammonia, colonoscopy, malaria, swelling, headache, groggy, Nausea, extreme exhaustion, increased appetite",50.05%
159,Amoxicillin / clavulanate,"Aspiration Pneumonia, Bacterial Infection, Bronchitis, Kidney Infections, Not Listed / Othe, Otitis Media, Pneumonia, Sinusitis, Skin and Structure Infection, Skin or Soft Tissue Infection, Small Bowel Bacterial Overgrowth, Strep Throat, Upper Respiratory Tract Infection, Urinary Tract Infection","sleepy, chest tightness, asymptomatic, Infection, fall, tired, scab, vomiting, heartburn, constipation, sweat, projectile vomiting, nervousness, exhaustion, surgery, fever, blood test, numbness, Sneezing, panic, pregnancy test, Wound, pain, nausea and vomiting, Pneumonia, kidney infection, lung infection, stress, Chills, Ear infection, ache, scratch, diarrhea, crying, nausea, bite, wound, anal infection, nightmare, fatigue, cough, dizziness, swelling, worry, chill, moody, palpitation, spasm, flare, headache, shortness of breath, Pain, Nausea, redness",33.33%
160,Amoxil,"Bacterial Infection, Bladder Infection, Bronchitis, Dental Abscess, Helicobacter Pylori Infection, Pneumonia, Sinusitis, Skin or Soft Tissue Infection, Tonsillitis/Pharyngitis, Upper Respiratory Tract Infection, Urinary Tract Infection","fever, headache, vomiting, cough, traction, pain, swelling, Ear infection, projectile vomiting, ache, chill",60.04%
161,Amphetamine,"ADHD, Narcolepsy","amphetamines, diarrhea, spasm, withdraw, anger, tired, headache, nausea, gastric bypass, dizziness, negative thoughts, ache",48.44%
