drugName,condition,Side_Effect,effectiveness
Acetaminophen / dichloralphenazone / isometheptene mucate,Headache,"sleepy, numbness, Tension, surgery, tired, headache, nausea, fatigue, panic, visual disturbance, ache, difficulty, pain, dizziness, Headache, aura, myalgia, Aura, occipital neuralgia, Migraine",65.11%
Acetaminophen / diphenhydramine,"Headache, Insomnia, Pain","sleepy, palpitation, hangover, withdraw, fall, headache, bite, nausea, tired, nightmare, groggy, unwell, pain, nervousness, drug interaction, ache, Migraine, redness",52.58%
Acetaminophen / diphenhydramine / phenylephrine,Cold Symptoms,"headache, ache",60.17%
Acetaminophen / hydrocodone,"Back Pain, Cough, Not Listed / Othe, Pain, Rheumatoid Arthritis","nerve block, anger, fall, tired, vomiting, pain management, Fatigue, exhaustion, surgery, scar tissue, Cough, Arthritis, diarrhea, tarsal tunnel syndrome, drug abuser, bite, wound, fatigue, retch, gastric bypass, worry, cold sweat, fibroma, neuropathic pain, cubital tunnel syndrome, redness, dependence, adverse effect, sleeplessness, spinal disorder, moan, constipation, sweat, drowsiness, numbness, hip surgery, ache, crying, swelling, wisdom teeth removal, fibromatosis, groggy, Pain, stupor, breakthrough pain, Kidney infection, Injury, sciatica, traction, pain, burning sensation, adverse reaction, kidney infection, Headache, Migraine, hangover, nausea, Scleroderma, cough, oral surgery, underweight, withdraw, shooting pain, shortness of breath, tooth extraction, Nausea, spinal operation, sleepy, compression fracture, Sciatica, myalgia, spinal fusion surgery, Cardiomyopathy, blood test, screaming, stress, Surgery, massage, nightmare, syringomyelia, dizziness, chill, Scar, spasm, flare, headache, low back pain, opiates",59.20%
Acetaminophen / oxycodone,"Chronic Pain, Not Listed / Othe, Pain","sleepy, dependence, spondylolisthesis, chronic fatigue syndrome, sleeplessness, breakthrough pain, anger, fall, tired, vomiting, heartburn, spinal disorder, lung transplant, pain management, constipation, brain damage, sweat, agitation, nervousness, liver transplant, myalgia, exhaustion, anxiety disorder, surgery, drowsiness, suicidal, radius fracture, physiotherapy, sciatica, bone graft, panic, excruciating pain, elation, traction, pain, stress, overdose, x-ray, ache, Surgery, Arthritis, diarrhea, kyphosis, crying, nausea, drug abuser, wound, fatigue, retch, gastric bypass, phantom pain, dizziness, oral surgery, pain back, Constipation, sports injury, worry, chill, hysterectomy, cold sweat, elderly, spasm, night sweat, withdraw, flare, alcoholic, headache, lightheadedness, Pain, groggy, accident at work, Back pain, opiates, redness",62.50%
Acetaminophen / pamabrom,Back Pain,"sciatica, pain, myalgia",66.39%
Acetaminophen / phenylephrine,"Not Listed / Othe, Sinus Symptoms","headache, pain, ache",53.98%
Acetaminophen / phenyltoloxamine,"Headache, Influenza, Pain","sleepy, headache, Pain, pain, ache, surgery",72.06%
Acetaminophen / propoxyphene,"Not Listed / Othe, Osteoarthritis, Pain","sleepy, seizure, anger, tired, pain management, constipation, myalgia, suicidal, drowsiness, surgery, Epilepsy, pain, ache, Migraine, worry, Vasculitis, spasm, withdraw, flare, headache, lumbar puncture, Pain, opiates",56.81%
Acetaminophen / tramadol,"Not Listed / Othe, Pain, Rheumatoid Arthritis","dependence, sleeplessness, tired, vomiting, constipation, sweat, myalgia, drowsiness, surgery, pain, analgesia, ache, diarrhea, nausea, fatigue, Constipation, chill, withdraw, flare, headache, Pain, Nausea, opiates, cyst removal",55.84%
Acetazolamide,"Edema, Epilepsy, Glaucoma, Hydrocephalus, Hypokalemic Periodic Paralysis, Mountain Sickness / Altitude Sickness, Pseudotumor Cerebri, Seizure Prevention","Paralysis, anger, fall, tired, drowsiness, surgery, numbness, pain, stress, ache, Hypertension, nausea, fatigue, nightmare, dizziness, swelling, flushing, worry, spasm, autoimmune disorder, headache, lightheadedness, lumbar puncture, birth control, redness",46.01%
Acetic acid,Wound Cleansing,wound,22.50%
Acetic acid / antipyrine / benzocaine / polycosanol,Ear Wax Impaction,ache,100.00%
Acetylcysteine,"Diagnostic Bronchograms, Expectoration","cough, adverse effect, spasm, smoker",72.74%
Acitretin,Psoriasis,"flare, adverse effect, tired, bite, unwell, dry throat, cough, swelling, malaise, redness",51.37%
Actemra,"Juvenile Idiopathic Arthritis, Rheumatoid Arthritis","dyspnea, flare, anger, headache, blood count, fatigue, pain, stiffness, stress, ache",56.53%
Acthar,"Allergies, Multiple Sclerosis, Rheumatoid Arthritis, Sarcoidosis",flare,58.35%
Acticlate,Acne,"headache, pain, ache",60.98%
Actifed,"Allergic Rhinitis, Cold Symptoms","cough, sleepy, swelling, drowsiness",58.26%
Activella,Postmenopausal Symptoms,"night sweat, headache, nausea, vomiting, pain, sweat, nervousness, ache",63.99%
Actonel with Calcium,Osteoporosis,pain,22.50%
Acyclovir,"Cold Sores, Herpes Simplex, Herpes Simplex, Mucocutaneous/Immunocompetent Host, Herpes Simplex, Mucocutaneous/Immunocompromised Host, Herpes Simplex, Suppression, Herpes Zoste, Mononucleosis, Not Listed / Othe","fall, tired, scab, vomiting, sweat, oral herpes, stress at work, fever, blood test, elation, pain, burning sensation, nausea and vomiting, stress, prophylaxis, ache, diarrhea, crying, nausea, fatigue, dizziness, swelling, immunodeficiency, Mood swings, flare, shooting pain, headache, redness",58.67%
Aczone,Acne,"flare, crying, tired, wound, lesion, nightmare, birth control, pain, swelling, stress, ache, worry, redness",52.74%
Adalimumab,"Not Listed / Othe, Psoriasis, Rheumatoid Arthritis",pain,68.34%
Adapalene,Acne,"fever, flare, fall, headache, tired, wound, scab, birth control, pustule, retch, pain, purging, sweat, burning sensation, stress, ache, red blotches, surgery, redness",51.15%
Adapalene / benzoyl peroxide,Acne,"scratch, flare, lesion, birth control, pain, purging, burning sensation, stress, ache, redness",54.45%
Adcirca,Pulmonary Hypertension,"headache, liver transplant, ache",41.53%
Adenosine,"Not Listed / Othe, Supraventricular Tachycardia","tired, headache, panic, pain, heavy feeling, ache, exhaustion, redness",54.55%
Adipex-P,"1 1     Obesity, Weight Loss","food craving, sleepy, sleeplessness, anger, fall, tired, out of breath, constipation, sweat, hunger, surgery, blood test, laziness, panic, elation, overweight, pain, tremor, stress, aura, ache, diarrhea, unhappy, crying, nausea, bite, fatigue, weight gain, retch, binge eating, dizziness, swelling, Constipation, anorexia, delivery, rale, worry, chill, boredom, palpitation, Scar, withdraw, alcoholic, headache, shortness of breath, Cold sweat, birth control",66.42%
Adipost,Obesity,food craving,66.75%
Adoxa,Acne,"birth control, nausea, vomiting",60.53%
Adriamycin,"Breast Cance, Cance, Lymphoma","nausea, nausea and vomiting, vomiting, cardiotoxicity",68.35%
Advate,Hemophilia A,surgery,69.06%
Advicor,High Cholesterol,flushing,79.00%
Advil," Back Pain, Cystic Fibrosis, Gout, Acute, Headache, Muscle Pain, Pain, Rheumatoid Arthritis, Sciatica, Spondylolisthesis, eve","fever, crying, sciatica, headache, pain, ache",57.40%
Advil Cold and Sinus,Sinus Symptoms,"sleepy, sinus pain, headache, cough, pain, ache",59.41%
Advil Liqui-Gels,"Back Pain, Gout, Acute, Headache, Pain, Period Pain, Rheumatoid Arthritis, eve","flare, headache, pain, swelling, ache, exhaustion",58.22%
Advil Migraine,Headache,Migraine,66.75%
Advil PM,Insomnia,"fall, tired",61.43%
Afatinib,Non-Small Cell Lung Cance,"erythema, cough, pain",45.33%
Afrezza,"Diabetes, Type 1, Diabetes, Type 2","anger, cough, worry",53.34%
Afrin,Nasal Congestion,"rebound effect, Arthritis, frustration, stuffy nose, wound",28.32%
Afrin NoDrip Sinus,Nasal Congestion,shortness of breath,41.45%
Aftera,Emergency Contraception,abortion,72.00%
Aggrenox,"Ischemic Stroke, Prophylaxis","diarrhea, headache, nausea, vomiting, cardiovascular event, pain, ache, surgery",41.27%
Alavert,Urticaria,multiple allergies,68.75%
Alavert D-12 Hour Allergy and Sinus, Allergic Rhinitis,"headache, pain, ache",9.33%
Albendazole,"Ascariasis, Cutaneous Larva Migrans, Pinworm Infection (Enterobius vermicularis)","sleepy, tired, headache, bite, nausea, biopsy, ache, redness",64.56%
Albenza,Pinworm Infection (Enterobius vermicularis),"headache, ache, diarrhea",56.15%
Albiglutide,"Diabetes, Type 2","diarrhea, headache, nausea, vomiting, pain, ache",34.45%
Albuterol,"Asthma, Maintenance, Asthma, acute, Bronchiectasis, Bronchospasm Prophylaxis, COPD, Acute, COPD, Maintenance","sleepy, chest tightness, spasm, sleeplessness, flare, anger, fall, shortness of breath, tired, Anxiety, Asthma, terrify, cough, pain, tremor, stress, delivery, wheezing",33.57%
Albuterol / ipratropium,"COPD, Maintenance","elderly, tired, Asthma, cough, lung transplant, drug interaction, delivery, wheezing, drowning",50.79%
Alcaftadine,"Conjunctivitis, Allergic","scratch, Infection, crying, eye allergy, panic, swelling, surgery, redness",41.51%
Alcortin A,Dermatitis,flare,63.25%
Aldactone,"1 Acne, Alopecia, Edema, Heart Failure, High Blood Pressure, Primary Hyperaldosteronism","fall, tired, elation, weight gain, birth control, pain, insulin resistance, swelling, ache, redness",57.92%
Aldomet,High Blood Pressure,"elderly, fall, wound, dizziness",26.34%
Alemtuzumab,Multiple Sclerosis,"fever, headache, flare, ache",70.20%
Alendronate,"Osteoporosis, Prevention of Osteoporosis","anger, Abdominal pain, headache, nausea, fatigue, vomiting, Pain, osteopenia, heartburn, low back pain, bedridden, pain, swelling, hunger, Headache, ache",17.85%
Alesse,"    Abnormal Uterine Bleeding, Birth Control, Endometriosis, Polycystic Ovary Syndrome","blood test, unhappy, laziness, crying, tired, headache, nausea, elation, weight gain, birth control, gag, pain, dizziness, stress, Headache, ache, worry, surgery, moody",49.07%
Aleve,"Ankylosing Spondylitis, Back Pain, Costochondritis, Gout, Acute, Headache, Juvenile Rheumatoid Arthritis, Muscle Pain, Osteoarthritis, Pain, Period Pain, Rheumatoid Arthritis, Sciatica, Tendonitis, zen Shoulde","fall, tired, vomiting, surgery, numbness, Tic, sciatica, excruciating pain, pain, stress, ache, Arthritis, Gout, crying, chondritis, nausea, retch, dizziness, swelling, stiffness, fibromatosis, fibroma, spasm, headache, shortness of breath, Pain",51.34%
Alfuzosin,Benign Prostatic Hyperplasia,"floppy iris syndrome, tired, headache, fatigue, excruciating pain, floppy, unwell, difficulty, pain, dizziness, stiffness, ache, retrograde ejaculation, surgery, redness",40.16%
Alirocumab,"High Cholesterol, High Cholesterol, Familial Heterozygous, High Cholesterol, Familial Homozygous","palpitation, drug therapy, blood test, diarrhea, spasm, shortness of breath, fatigue, cough, pain, ache, worry",53.33%
Aliskiren,High Blood Pressure,"palpitation, Scar, anger, tired, headache, nausea, unwell, overweight, pain, cough, dizziness, burning sensation, ache, surgery",50.38%
All Day Allergy,Allergic Rhinitis,fever,93.00%
Allantoin / camphor / phenol,Herpes Simplex,bite,68.20%
Allegra,"  Allergic Rhinitis, Urticaria","fever, diarrhea, drowsiness, fall, headache, nausea, tired, ache, vomiting, snore, cough, sniffle, bronchial irritation, dizziness, snoring, sweat, idiopathic urticaria, chill",54.91%
Allegra Allergy,Allergic Rhinitis,tired,8.96%
Allegra-D 24 Hour,1  Allergic Rhinitis,"unable to concentrate, crying, tired, terrify, cough, pain",52.20%
Allerx Dose Pack DF,Rhinitis,cough,73.31%
Allopurinol,"Gout, Hyperuricemia Secondary to Chemotherapy, Urinary Tract Stones","Gout, flare, fatigue, aversion, lithotripsy, overweight, pain, swelling, stiffness, suicidal",58.04%
Almotriptan,Migraine,"spasm, tired, headache, Fall, pain, drug interaction, aura, ache, Migraine",65.15%
Aloe vera,"Burns, External","pain, welt",72.86%
Aloprim,Gout,pain,67.79%
Alosetron,"Diarrhea, Irritable Bowel Syndrome","diarrhea, crying, nausea, endoscopy, colonoscopy, pain, difficulty, constipation, overdose, ache, suicidal",70.09%
Aloxi,"Nausea/Vomiting, Postoperative",nausea,100.00%
Alprazolam,"Anxiety, Borderline Personality Disorde, Depression, Dysautonomia, Not Listed / Othe, Panic Disorde, Tinnitus","sleepy, dependence, seizure, anger, fall, tired, out of breath, sexual abuse, pain management, brain damage, sweat, intoxication, nervousness, anxiety disorder, surgery, drowsiness, Fear, Tachycardia, tunnel vision, blood test, suicidal, Ovarian cancer, panic, lesion, elation, pain, divorced, stress, Depression, tinnitus, ache, hangover, diarrhea, claustrophobia, crying, nausea, Tinnitus, wound, Anxiety, blackout, nightmare, terrify, retch, vertigo, feeling guilty, fear of death, Insomnia, Colitis, sports injury, worry, boredom, palpitation, spasm, night sweat, withdraw, Atrial fibrillation, alcoholic, headache, groggy, clumsiness, bedridden",66.02%
Alprostadil,Erectile Dysfunction,"massage, stress, headache, elation, pain, burning sensation, stiffness, erectile dysfunction, ache, surgery, redness",61.52%
Altabax,"Acne, Impetig","pain, wound, open wound, redness",58.59%
Altace,"Diabetic Kidney Disease, Heart Attack, Heart Failure, High Blood Pressure","fever, diarrhea, hypotension, night sweat, tired, nausea, left ventricular dysfunction, cough, pain, sweat, gag",58.55%
Aluminum chloride hexahydrate,Hyperhidrosis,"anger, fall, tired, scab, sympathectomy, sweat, nervousness, staring, surgery, excruciating pain, pain, burning sensation, stress, aura, ache, Surgery, scratch, crying, nightmare, retch, swelling, worry, Hyperhidrosis, stinging sensation, frustration, night sweat, birth control, redness",64.92%
Aluminum hydroxide / magnesium trisilicate,"GERD, Indigestion",pain,60.24%
Alvesco,"Asthma, Asthma, Maintenance","fever, fall, hoarseness, cough, pain, dizziness",57.51%
Amantadine,"ADHD, Chronic Fatigue Syndrome, Extrapyramidal Reaction, Head Injury, Multiple Sclerosis, Parkinson's Disease, atigue","fall, nausea, tired, fatigue, ache, nightmare, difficulty, constipation, swelling, tremor, stiffness, Fatigue, redness",51.26%
Ambrisentan,Pulmonary Hypertension,dialysis,-2.50%
Amerge,Migraine,"sleepy, photophobia, tired, headache, nausea, heartburn, groggy, pain, Headache, ache",67.11%
Amethyst,Birth Control,moody,14.70%
Amikin,Cystic Fibrosis,"Back pain, pain, fever, vomiting",7.00%
Amiodarone,"Arrhythmia, Ventricular Fibrillation, Ventricular Tachycardia","Tachycardia, Hyperthyroidism, transfusion, tired, heart transplant, retinal vein occlusion, intensive care, cough, lung transplant, Shock, Insomnia, pain, pulmonary toxicity, stress, difficulty, swelling, constipation, dialysis, surgery",35.87%
Amitiza,"1 2  Constipation, Constipation, Chronic, Constipation, Drug Induced, Irritable Bowel Syndrome, Opioid-Induced Constipation","chest tightness, anger, fall, tired, flatulence, vomiting, heartburn, pain management, constipation, sweat, surgery, adhesion, grunting, fever, unwell, overweight, pain, purging, ache, diarrhea, crying, nausea, fatigue, retch, cough, colonoscopy, dizziness, swelling, dizzy spells, Constipation, worry, chill, hysterectomy, moody, spasm, withdraw, headache, shortness of breath, lethargy, dialysis, redness",45.83%
Amitriptyline,"Anxiety and Stress, Burning Mouth Syndrome, Chronic Myofascial Pain, Cough, Cyclic Vomiting Syndrome, Depression, Dysautonomia, Hyperhidrosis, Insomnia, Interstitial Cystitis, Irritable Bowel Syndrome, Migraine Prevention, Neurotic Depression, Not Listed / Othe, Pain, Post Traumatic Stress Disorde, Pudendal Neuralgia, Reflex Sympathetic Dystrophy Syndrome, Urinary Incontinence, Vulvodynia, ibromyalgia","shoulder operation, anger, fall, post concussion syndrome, tired, urinary tract pain, vomiting, heartburn, pain management, productive cough, exhaustion, surgery, scar tissue, tremor, off label use, Arthritis, diarrhea, wound, Anxiety, weight gain, fatigue, retch, difficulty, worry, dystonia, neuropathic pain, personality change, family stress, increased appetite, redness, mania, Paralysis, sleeplessness, endoscopy, constipation, sweat, hunger, drowsiness, suicidal, numbness, bladder discomfort, excruciating pain, complicated migraine, aggression, unwell, Cystitis, paresis, ache, Vomiting, crying, colonoscopy, swelling, rale, Mood swings, artery dissection, groggy, Pain, seizure, breakthrough pain, piriformis syndrome, depressive symptom, gag, anxiety disorder, Dizziness, sciatica, painful erection, food intolerance, migraine with aura, overweight, pain, adverse reaction, Depression, Headache, aura, tinnitus, Migraine, hangover, Tension, Enuresis, fear of weight gain, nausea, anhedonia, heart valve replacement, cyclic vomiting syndrome, cough, vertigo, Insomnia, stiffness, underweight, withdraw, shortness of breath, plasmacytoma, lethargy, food craving, sleepy, sinus pain, acupuncture, agitation, myalgia, blood test, panic, elation, screaming, carotid artery dissection, stress, bladder spasm, massage, urethral stricture, scratch, syncope, acute stress disorder, nightmare, dizziness, self-medication, moody, palpitation, spasm, flare, abortion, headache, hostility, anal stenosis, low back pain",56.35%
Amitriptyline / chlordiazepoxide,"Anxiety, Depression, Not Listed / Othe","headache, panic, ache, difficulty, pain, myalgia",66.65%
Amitriptyline / perphenazine,"Anxiety, Depression","anger, panic, psychotherapy",72.10%
Amlodipine,"Coronary Artery Disease, Heart Failure, High Blood Pressure, Migraine Prevention, Not Listed / Othe, Raynaud's Syndrome","sleepy, adverse effect, Hyperthyroidism, fall, tired, muscle twitch, out of breath, vomiting, sweat, Fatigue, exhaustion, surgery, drowsiness, blood test, numbness, stuffy nose, panic, Conjunctivitis, unwell, overweight, pain, adverse reaction, Tremor, stress, off label use, aura, paresthesia, Cough, tinnitus, Migraine, ache, massage, Arthritis, scratch, diarrhea, delusion, unhappy, nausea, wound, Anxiety, nightmare, weight gain, fatigue, cough, difficulty, Insomnia, dizziness, swelling, dizzy spells, flushing, malaise, chill, swollen tongue, cold sweat, palpitation, elderly, spasm, flare, spider vein, sleep paralysis, headache, shortness of breath, lightheadedness, Pain, Nausea, groggy, redness",36.64%
Amlodipine / benazepril,"High Blood Pressure, Not Listed / Othe","chest tightness, palpitation, unable to concentrate, cough, pain, swelling, dizziness, dizzy spells, ache, Cough",39.75%
Amlodipine / hydrochlorothiazide / olmesartan,High Blood Pressure,"fever, spasm, fatigue, vomiting, cough, pain, dizziness, dizzy spells, ache",56.98%
Amlodipine / hydrochlorothiazide / valsartan,ge HCT (amlodipine / hydrochlorothiazide / valsartan),dizziness,72.24%
Amlodipine / valsartan,High Blood Pressure,spasm,11.57%
Ammonium lactate,"Dry Skin, Ichthyosis","ammonia, pain, worry",68.21%
Amnesteem,1 Acne,"sleepy, fever, blood test, flare, anger, tired, headache, nausea, fatigue, moody, ache, redness, birth control, Back pain, pain, constipation, suicidal, chill, chapped lips",56.51%
Amoxicillin,"Bacterial Infection, Bladder Infection, Bronchitis, Dental Abscess, Helicobacter Pylori Infection, Not Listed / Othe, Otitis Media, Pneumonia, Sinusitis, Skin or Soft Tissue Infection, Tonsillitis/Pharyngitis, Upper Respiratory Tract Infection, Urinary Tract Infection","sleepy, Infection, fall, tired, vomiting, sweat, exhaustion, surgery, drowsiness, Diarrhoea, fever, panic, traction, pain, kidney infection, ache, chronic tonsillitis, diarrhea, crying, nausea, fatigue, terrify, Mass, cough, dizziness, swelling, chill, tooth infection, wisdom teeth removal, spasm, Chest pain, headache, tooth extraction, Pain, extreme exhaustion, redness",48.74%
Amoxicillin / clarithromycin / lansoprazole,Helicobacter Pylori Infection,"fall, tired, vomiting, endoscopy, heartburn, redness, constipation, sweat, biopsy, gag, exhaustion, drowsiness, fever, blood test, excruciating pain, overweight, pain, burning sensation, Chills, ache, diarrhea, nausea, fatigue, retch, ammonia, colonoscopy, malaria, swelling, headache, groggy, Nausea, extreme exhaustion, increased appetite",50.05%
Amoxicillin / clavulanate,"Aspiration Pneumonia, Bacterial Infection, Bronchitis, Kidney Infections, Not Listed / Othe, Otitis Media, Pneumonia, Sinusitis, Skin and Structure Infection, Skin or Soft Tissue Infection, Small Bowel Bacterial Overgrowth, Strep Throat, Upper Respiratory Tract Infection, Urinary Tract Infection","sleepy, chest tightness, asymptomatic, Infection, fall, tired, scab, vomiting, heartburn, constipation, sweat, projectile vomiting, nervousness, exhaustion, surgery, fever, blood test, numbness, Sneezing, panic, pregnancy test, Wound, pain, nausea and vomiting, Pneumonia, kidney infection, lung infection, stress, Chills, Ear infection, ache, scratch, diarrhea, crying, nausea, bite, wound, anal infection, nightmare, fatigue, cough, dizziness, swelling, worry, chill, moody, palpitation, spasm, flare, headache, shortness of breath, Pain, Nausea, redness",33.33%
Amoxil,"Bacterial Infection, Bladder Infection, Bronchitis, Dental Abscess, Helicobacter Pylori Infection, Pneumonia, Sinusitis, Skin or Soft Tissue Infection, Tonsillitis/Pharyngitis, Upper Respiratory Tract Infection, Urinary Tract Infection","fever, headache, vomiting, cough, traction, pain, swelling, Ear infection, projectile vomiting, ache, chill",60.04%
Amphetamine,"ADHD, Narcolepsy","amphetamines, diarrhea, spasm, withdraw, anger, tired, headache, nausea, gastric bypass, dizziness, negative thoughts, ache",48.44%
Amphetamine / dextroamphetamine,"ADHD, Narcolepsy, Not Listed / Othe, atigue","sleepy, irritable mood, seizure, sleeplessness, adverse effect, anger, fall, tired, affective disorder, mental disorder, alcoholism, aversion, pain management, constipation, brain damage, sweat, agitation, nervousness, hunger, gag, staring, Fatigue, myalgia, anxiety disorder, drowsiness, suicidal, exhaustion, blood test, panic, elation, Aggression, aggression, screaming, overweight, traction, pain, stress, Depression, erectile dysfunction, Headache, opiates, ache, amphetamines, Decreased appetite, scratch, diarrhea, unhappy, smoker, crying, hypersomnia, nausea, fatigue, nightmare, weight gain, difficulty, binge eating, Insomnia, dizziness, homeless, worry, chill, moody, palpitation, frustration, withdraw, daydreaming, breast feeding, alcoholic, sleep paralysis, headache, shortness of breath, Pain, birth control, personality change, sleep attacks, energy increased, red blotches, redness",60.79%
Ampicillin,"Meningitis, Urinary Tract Infection",drowsiness,71.66%
Amrix,"Migraine, Muscle Spasm, Sciatica, ibromyalgia","sleepy, seizure, spasm, flare, surgery, sciatica, fall, tired, fatigue, difficulty, pain, constipation, stress, myalgia, drowsiness, redness",50.12%
Anafranil,"1 Depression, Obsessive Compulsive Disorde, Panic Disorde","hypotension, fall, tired, compulsions, constipation, sweat, drowsiness, surgery, panic, pain, stress, ache, diarrhea, obsessive thoughts, fatigue, weight gain, difficulty, worry, palpitation, spasm, withdraw, headache, anorgasmia",60.72%
Anakinra,Still's Disease,"pain, bedridden",66.23%
Anaprox,"Back Pain, Muscle Pain, Osteoarthritis, Tendonitis","anger, pain, drowsiness",48.27%
Anastrozole,"Breast Cance, Breast Cancer, Metastatic, Endometrial Cance","fall, tired, vomiting, moan, constipation, sweat, biopsy, nervousness, myalgia, surgery, mastectomy, Fear, blood test, drug therapy, numbness, sciatica, panic, osteopenia, pain, Headache, Bone pain, ache, magnesium deficiency, Vomiting, hot flush, scratch, diarrhea, radiotherapy, nausea, wound, fatigue, nightmare, weight gain, cough, difficulty, Insomnia, dizziness, grip strength, swelling, stiffness, flushing, worry, Breast cancer, hysterectomy, moody, night sweat, headache, shortness of breath, Pain, Nausea, bladder prolapse, redness",39.21%
Anexsia,Pain,pain,69.99%
Angeliq,Postmenopausal Symptoms,"palpitation, menopausal symptoms, night sweat, hot flush, nausea, weight gain, pain, sweat",57.92%
Antabuse,Alcohol Dependence,"Flushing, seizure, anger, alcohol problem, fall, acupuncture, alcoholism, suicidal, drowsiness, surgery, elation, pain, stress, ache, hangover, nausea, fatigue, swelling, flushing, worry, alcoholic, headache",64.89%
Anti-Diarrheal,Diarrhea,diarrhea,84.70%
Antihemophilic factor / von willebrand factor,von Willebrand's Disease,"vaginal hysterectomy, surgery, hysterectomy",77.76%
Antipyrine / benzocaine,Otitis Media,"screaming, pain",74.20%
Anusol-HC Suppositories,Hemorrhoids,pain,16.00%
Apidra,"Diabetes, Type 2",aura,82.50%
Apixaban,"Prevention of Thromboembolism in Atrial Fibrillation, Pulmonary Embolism","blood test, scar tissue, tired, unwell, cough, pain, dizziness, ache, redness",36.44%
Aplenzin,"Depression, Major Depressive Disorde, Obesity","panic, sweat, ache, Mood swings, suicidal",51.51%
